,유치원명,설립유형_x,주소,운영시간,만3세학급수,만4세학급수,만5세학급수,혼합학급수,특수학급수,만3세유아수,만4세유아수,만5세유아수,혼합유아수,특수유아수,인가총정원수,3세모집정원수,4세모집정원수,5세모집정원수,혼합모집정원수,특수학급모집정원수,차량운영여부,운행차량수,신고차량수,9인승신고차량수,12인승신고차량수,15인승신고차량수,x,y
0,매화숲유치원,사립(사인),경상남도 김해시 함박로101번길 19-1,08시00분~20시00분,,1.0,2.0,1,,,25.0,44.0,22,,100,,25.0,50.0,25,,Y,2,2,0,0,2,128.8631924,35.2334556
1,삼성이칼러지유치원,사립(사인),경상남도 김해시 김해대로332번길 38-22,09시30분~18시30분,,,1.0,2,,,,28.0,22,,210,,,28.0,42,,Y,1,1,0,0,1,128.7225945,35.3059938
2,아이숲유치원,사립(사인),경상남도 김해시 월산로 111-79,09시50분~18시30분,,2.0,2.0,3,,,43.0,52.0,65,,172,,48.0,56.0,68,,Y,2,2,0,0,2,128.8018249,35.2029982
3,진례초등학교병설유치원,공립(병설),경상남도 김해시 송현로 74-12,08시40분~17시40분,,,,1,,,,,8,,18,,,,18,,Y,1,1,0,0,1,128.7556677,35.2477976
4,김해가야초등학교병설유치원,공립(병설),경상남도 김해시 분성로3번길 45,08시30분~18시30분,,,,1,,,,,5,,18,,,,18,,N,0,0,0,0,0,128.8515328,35.2366508
5,김해봉황초등학교병설유치원,공립(병설),경상남도 김해시 전하로198번길 5,08시40분~17시00분,,,,1,,,,,18,,18,,,,18,,N,0,0,0,0,0,128.8698473,35.2222024
6,영림유치원,사립(사인),경상남도 김해시 분성로 14-2,08시00분~18시30분,2.0,2.0,2.0,0,,38.0,50.0,53.0,0,,180,38.0,50.0,56.0,0,,Y,2,2,0,0,2,128.8494948,35.2321180
7,빛누리유치원,사립(사인),경상남도 김해시 분성로3번길 169,08시00분~18시00분,2.0,2.0,2.0,0,,37.0,29.0,39.0,0,,175,38.0,50.0,56.0,0,,Y,2,2,0,0,2,128.8593972,35.2437614
8,산새소리유치원,사립(사인),경상남도 김해시 삼문로 77-1,09시10분~18시00분,6.0,5.0,5.0,0,,114.0,125.0,134.0,0,,385,114.0,125.0,140.0,0,,Y,4,4,0,0,4,128.8087550,35.1928682
9,삼방초등학교병설유치원,공립(병설),경상남도 김해시 삼안로235번길 20,08시40분~16시40분,,,,1,1.0,,,,9,3.0,16,,,,12,4.0,N,0,0,0,0,0,128.9079750,35.2491680
10,이작초등학교병설유치원,공립(병설),경상남도 김해시 마사로241번길 12,08시40분~16시50분,,,,1,,,,,10,,18,,,,18,,Y,1,1,0,0,1,128.8376182,35.3615517
11,장유초등학교병설유치원,공립(병설),경상남도 김해시 능동로 190,08시30분~17시30분,,1.0,2.0,0,,,14.0,29.0,0,,69,,21.0,48.0,0,,N,0,0,0,0,0,128.8117749,35.2050793
12,한림초등학교병설유치원,공립(병설),경상남도 김해시 한림로371번길 47,08시30분~18시30분,,,,1,,,,,5,,18,,,,18,,Y,2,2,0,0,2,128.7986604,35.3240215
13,꽃무지풀무지유치원,사립(사인),경상남도 김해시 대청로104번길 46,09시00분~17시00분,3.0,4.0,3.0,0,,63.0,74.0,63.0,0,,300,100.0,100.0,100.0,0,,Y,3,3,0,0,3,128.8028793,35.1866598
14,한성유치원,사립(사인),경상남도 김해시 인제로51번길 54-10,09시00분~18시00분,,,3.0,0,,,,73.0,0,,100,,,78.0,0,,Y,2,2,0,0,2,128.8992079,35.2332341
15,지혜유치원,사립(사인),경상남도 김해시 금관대로1297번길 24,09시00분~18시00분,1.0,1.0,1.0,0,,11.0,13.0,19.0,0,,140,19.0,25.0,28.0,0,,Y,2,2,0,1,1,128.8597591,35.2417030
16,진영금병초등학교병설유치원,공립(병설),경상남도 김해시 장등로 37,08시40분~17시00분,,,2.0,0,,,,34.0,0,,48,,,48.0,0,,N,0,0,0,0,0,128.7346920,35.3098904
17,전원유치원,사립(사인),경상남도 김해시 삼안로112번길 20,09시00분~18시20분,3.0,4.0,3.0,0,,52.0,93.0,66.0,0,,280,57.0,100.0,84.0,0,,Y,3,3,0,1,2,128.9184569,35.2399198
18,김해활천초등학교병설유치원,공립(병설),경상남도 김해시 삼안로24번길 7,08시40분~17시40분,,,,1,1.0,,,,13,3.0,22,,,,18,4.0,N,0,0,0,0,0,128.9187267,35.2322943
19,대동초등학교병설유치원,공립(병설),경상남도 김해시 대동로 613,08시40분~18시30분,,,,1,,,,,5,,18,,,,18,,N,0,0,0,0,0,128.9805987,35.2433008
20,대진초등학교병설유치원,공립(병설),경상남도 김해시 고모로327번길 19,08시30분~17시30분,,,,1,,,,,4,,18,,,,18,,N,0,0,0,0,0,128.7641529,35.2576630
21,삼계초등학교병설유치원,공립(병설),경상남도 김해시 가야로38번길 30,08시30분~17시00분,,1.0,1.0,0,1.0,,18.0,22.0,0,4.0,45,,19.0,22.0,0,4.0,N,0,0,0,0,0,128.8642028,35.2675273
22,생림초등학교병설유치원,공립(병설),경상남도 김해시 봉림로 80-10,08시30분~18시30분,,,,1,,,,,5,,18,,,,18,,Y,1,1,0,0,1,128.8479181,35.3323629
23,안명초등학교병설유치원,공립(병설),경상남도 김해시 안하로 28,08시30분~18시30분,,,,1,,,,,18,,18,,,,18,,Y,2,2,0,0,2,128.8286451,35.3045764
24,월산초등학교병설유치원,공립(병설),경상남도 김해시 능동로 123,08시40분~17시10분,1.0,1.0,2.0,0,,16.0,20.0,31.0,0,,85,16.0,21.0,48.0,0,,N,0,0,0,0,0,128.8052946,35.2012626
25,구봉초등학교병설유치원,공립(병설),경상남도 김해시 구지로 99-26,08시00분~17시00분,,,,1,,,,,6,,18,,,,18,,N,0,0,0,0,0,128.8733176,35.2407764
26,김해동광초등학교병설유치원,공립(병설),경상남도 김해시 호계로500번길 15-15,08시30분~17시30분,,,1.0,1,,,,15.0,10,,42,,,24.0,18,,N,0,0,0,0,0,128.8867250,35.2369350
27,양문유치원,사립(사인),경상남도 김해시 삼계중앙로13번길 47-24,09시10분~18시00분,2.0,1.0,1.0,0,,30.0,26.0,26.0,0,,114,40.0,26.0,28.0,0,,Y,1,1,0,0,1,128.8657960,35.2636556
28,양지유치원,사립(사인),경상남도 김해시 분성로3번길 245,08시30분~18시00분,3.0,3.0,3.0,0,,68.0,75.0,78.0,0,,270,90.0,90.0,90.0,0,,Y,3,3,0,0,3,128.8651315,35.2486757
29,우듬지유치원,사립(사인),경상남도 김해시 율하2로 126,09시00분~18시00분,5.0,4.0,3.0,0,,78.0,97.0,70.0,0,,360,95.0,100.0,84.0,0,,Y,3,3,0,0,3,128.8145088,35.1690297
30,주석초등학교병설유치원,공립(병설),경상남도 김해시 월산로 81-36,08시40분~17시10분,,1.0,2.0,0,,,16.0,32.0,0,,69,,21.0,48.0,0,,N,0,0,0,0,0,128.8023431,35.2027211
31,김해구지초등학교병설유치원,공립(병설),경상남도 김해시 구산로5번길 45,08시40분~18시30분,,1.0,1.0,0,1.0,,18.0,21.0,0,4.0,45,,20.0,21.0,0,4.0,N,0,0,0,0,0,128.8689870,35.2528238
32,수인사유치원,사립(사인),경상남도 김해시 분성로3번길 181-33,09시00분~17시20분,4.0,4.0,4.0,0,,93.0,107.0,107.0,0,,680,93.0,108.0,108.0,0,,Y,4,4,0,0,4,128.8601738,35.2462949
33,숲속해바라기유치원,사립(사인),경상남도 김해시 율하로 270-69,09시20분~18시00분,,3.0,2.0,1,,,74.0,50.0,21,,155,,75.0,56.0,24,,Y,2,2,0,0,2,128.8053750,35.1694215
34,김해삼성초등학교병설유치원,공립(병설),경상남도 김해시 인제로51번길 42,08시40분~17시10분,1.0,1.0,1.0,0,,6.0,13.0,23.0,0,,61,16.0,21.0,24.0,0,,N,0,0,0,0,0,128.8999345,35.2337681
35,김해유치원,공립(단설),경상남도 김해시 인제로284번길 51,08시00분~17시30분,2.0,2.0,2.0,0,,21.0,41.0,42.0,0,,122,32.0,42.0,48.0,0,,Y,2,2,0,0,2,128.9081674,35.2538903
36,어방초등학교병설유치원,공립(병설),경상남도 김해시 활천로 159,08시30분~17시00분,,,,1,,,,,10,,18,,,,18,,N,0,0,0,0,0,128.8983461,35.2400709
37,진영대창초등학교병설유치원,공립(병설),경상남도 김해시 진영로 236,08시00분~17시00분,1.0,1.0,1.0,0,,16.0,21.0,24.0,0,,61,16.0,21.0,24.0,0,,Y,1,1,0,0,1,128.7390041,35.3013317
38,아이뜰유치원,사립(사인),경상남도 김해시 평전로71번길 10-23,09시30분~20시00분,2.0,1.0,1.0,1,,25.0,17.0,17.0,19,,130,38.0,25.0,28.0,24,,Y,3,3,0,0,3,128.8550604,35.2387525
39,예그린유치원,사립(사인),경상남도 김해시 덕정로12번길 39-17,09시00분~15시00분,,,,6,,,,,115,,200,,,,144,,Y,2,2,0,0,2,128.7901712,35.1776586
40,이북초등학교병설유치원,공립(병설),경상남도 김해시 한림로 98-9,08시40분~16시40분,,,,1,,,,,6,,18,,,,18,,Y,2,2,0,0,2,128.8095849,35.3033078
41,능동초등학교병설유치원,공립(병설),경상남도 김해시 번화1로123번길 20,08시40분~17시10분,,1.0,2.0,0,,,20.0,30.0,0,,69,,21.0,48.0,0,,N,0,0,0,0,0,128.7957709,35.1981790
42,김해신안초등학교병설유치원,공립(병설),경상남도 김해시 팔판로 8,08시40분~16시40분,,1.0,1.0,0,,,14.0,20.0,0,,45,,21.0,24.0,0,,N,0,0,0,0,0,128.7901947,35.1792042
43,삼문초등학교병설유치원,공립(병설),경상남도 김해시 번화2로 104,08시00분~17시30분,,,1.0,1,1.0,,,21.0,17,4.0,42,,,21.0,17,4.0,N,0,0,0,0,0,128.8029750,35.1983513
44,유영유치원,사립(사인),경상남도 김해시 함박로45번길 17-19,07시30분~21시00분,2.0,2.0,3.0,0,,29.0,36.0,55.0,0,,204,38.0,50.0,60.0,0,,Y,3,3,0,0,3,128.8581779,35.2336472
45,해돋이유치원,사립(사인),경상남도 김해시 내덕로86번길 9,07시50분~18시30분,3.0,3.0,3.0,0,,65.0,71.0,75.0,0,,325,85.0,80.0,80.0,0,,Y,3,3,0,0,3,128.8181311,35.2062805
46,혜화유치원,사립(사인),경상남도 김해시 함박로101번길 19,09시00분~17시00분,1.0,1.0,2.0,0,,19.0,24.0,44.0,0,,100,19.0,25.0,56.0,0,,Y,2,2,0,0,2,128.8641221,35.2340024
47,구산초등학교병설유치원,공립(병설),경상남도 김해시 가락로 310-36,08시30분~18시30분,,1.0,1.0,0,,,12.0,24.0,0,,45,,21.0,24.0,0,,N,0,0,0,0,0,128.8742553,35.2533924
48,금산초등학교병설유치원,공립(병설),경상남도 김해시 하계로 3,08시40분~17시00분,,,,7,,,,,7,,18,,,,18,,N,0,0,0,0,0,128.7083447,35.2922907
49,장유유치원,공립(단설),경상남도 김해시 수가로 271,08시00분~18시00분,3.0,3.0,3.0,0,2.0,46.0,60.0,68.0,0,9.0,183,46.0,60.0,68.0,0,9.0,Y,3,3,0,0,3,128.8369927,35.1778323
50,계동초등학교병설유치원,공립(병설),경상남도 김해시 계동로 96,08시40분~17시10분,,,,2,1.0,,,,32,4.0,36,,,,32,4.0,N,0,0,0,0,0,128.7951724,35.1849139
51,동우유치원,사립(사인),경상남도 김해시 번화1로124번길 9,07시50분~17시30분,1.0,2.0,2.0,0,,18.0,27.0,37.0,0,,265,75.0,100.0,90.0,0,,Y,3,3,0,1,2,128.7986154,35.1986252
52,맘에든유치원,사립(사인),경상남도 김해시 전하로124번길 26-16,09시00분~17시00분,5.0,5.0,4.0,0,,81.0,102.0,99.0,0,,330,100.0,125.0,105.0,0,,Y,7,7,0,1,6,128.8610012,35.2184733
53,은빛예능유치원,사립(사인),경상남도 김해시 활천로202번길 37,09시00분~17시00분,1.0,1.0,1.0,0,,12.0,14.0,18.0,0,,140,19.0,25.0,28.0,0,,Y,1,1,0,0,1,128.9001154,35.2391692
54,이화예능유치원,사립(사인),경상남도 김해시 금관대로1265번길 10,09시30분~17시30분,,1.0,1.0,2,,,25.0,28.0,48,,101,,25.0,28.0,48,,Y,2,2,0,0,2,128.8582163,35.2387402
55,가야유치원,사립(사인),경상남도 김해시 활천로 195-8,09시00분~18시00분,1.0,1.0,1.0,0,,11.0,21.0,18.0,0,,180,30.0,30.0,30.0,0,,Y,2,2,0,2,0,128.9001171,35.2426555
56,꽃동산유치원,사립(사인),경상남도 김해시 평전로201번길 10-12,09시30분~17시30분,4.0,5.0,4.0,0,,75.0,114.0,96.0,0,,450,150.0,180.0,120.0,0,,Y,4,4,0,0,4,128.8639861,35.2461584
57,늘푸른유치원,사립(사인),경상남도 김해시 삼안로184번길 9-3,09시00분~18시00분,1.0,1.0,1.0,0,,10.0,19.0,19.0,0,,235,19.0,25.0,28.0,0,,Y,1,1,0,0,1,128.9133339,35.2450575
58,국제유치원,사립(사인),경상남도 김해시 함박로 92,09시00분~17시00분,,5.0,5.0,5,,,125.0,132.0,123,,380,,125.0,140.0,120,,Y,5,5,0,0,5,128.8639913,35.2321384
59,김해합성초등학교병설유치원,공립(병설),경상남도 김해시 가락로 111-12,08시40분~18시30분,,,,1,,,,,15,,18,,,,18,,N,0,0,0,0,0,128.8799880,35.2371510
60,수남초등학교병설유치원,공립(병설),경상남도 김해시 율하2로 183,08시30분~17시00분,,,1.0,0,,,,24.0,0,,24,,,24.0,0,,N,0,0,0,0,0,128.8188460,35.1707220
61,화정초등학교병설유치원,공립(병설),경상남도 김해시 삼계중앙로5번길 24,08시40분~18시30분,,1.0,1.0,0,,,15.0,24.0,0,,45,,21.0,24.0,0,,N,0,0,0,0,0,128.8657659,35.2631158
62,우암초등학교병설유치원,공립(병설),경상남도 김해시 우암로 165,08시40분~17시10분,,,,2,1.0,,,,19,4.0,36,,,,32,4.0,N,0,0,0,0,0,128.8676195,35.2432261
63,김해부곡초등학교병설유치원,공립(병설),경상남도 김해시 월산로 139,08시40분~17시40분,,1.0,2.0,0,,,14.0,32.0,0,,69,,21.0,48.0,0,,N,0,0,0,0,0,128.7995760,35.2068122
64,바다의별유치원,사립(사인),경상남도 김해시 한림로 1205-49,09시30분~18시00분,,1.0,1.0,0,,,4.0,2.0,0,,120,,25.0,28.0,0,,Y,1,1,0,0,1,128.7449637,35.3184302
65,관동초등학교병설유치원,공립(병설),경상남도 김해시 율하3로 110,08시40분~18시30분,,,2.0,0,,,,38.0,0,,48,,,48.0,0,,N,0,0,0,0,0,128.8176023,35.1775389
66,무지개유치원,사립(사인),경상남도 김해시 가야로157번길 32-12,09시00분~18시00분,2.0,3.0,3.0,0,,38.0,75.0,83.0,0,,225,38.0,75.0,84.0,0,,Y,3,3,0,1,2,128.8749534,35.2632321
67,글로벌창의유치원,사립(사인),경상남도 김해시 구지로 204,08시00분~19시00분,3.0,2.0,3.0,0,,46.0,48.0,65.0,0,,191,57.0,50.0,84.0,0,,Y,4,4,0,1,3,128.8856385,35.2381480
68,대중초등학교병설유치원,공립(병설),경상남도 김해시 대동로 287,08시40분~17시10분,,,,1,,,,,2,,18,,,,18,,N,0,0,0,0,0,128.9490130,35.2367100
69,용산초등학교병설유치원,공립(병설),경상남도 김해시 여차로 610,08시40분~16시40분,,,,1,,,,,8,,18,,,,18,,N,0,0,0,0,0,128.9024374,35.3547201
70,진영대흥초등학교병설유치원,공립(병설),경상남도 김해시 진영로120번길 2-4,08시40분~17시00분,,1.0,1.0,0,1.0,,10.0,21.0,0,4.0,45,,19.0,22.0,0,4.0,N,0,0,0,0,0,128.7256803,35.3038728
71,하늘사랑유치원,사립(사인),경상남도 김해시 대청로104번길 11,09시00분~18시30분,3.0,3.0,3.0,0,,49.0,83.0,71.0,0,,300,75.0,90.0,90.0,0,,Y,3,3,0,0,3,128.7997000,35.1852209
72,아람나무유치원,사립(사인),경상남도 김해시 율하2로153번길 19,07시40분~18시30분,,4.0,4.0,4,,,100.0,96.0,96,,337,,100.0,112.0,96,,Y,3,3,0,0,3,128.8182406,35.1699172
73,석봉초등학교병설유치원,공립(병설),경상남도 김해시 월산로 27,08시30분~17시00분,,1.0,1.0,0,1.0,,16.0,22.0,0,4.0,45,,19.0,22.0,0,4.0,N,0,0,0,0,0,128.8092628,35.2001049
74,생각숲예술유치원,사립(사인),경상남도 김해시 율하1로 74,09시00분~19시00분,4.0,3.0,3.0,0,,64.0,75.0,80.0,0,,300,76.0,75.0,84.0,0,,Y,2,2,0,0,2,128.8122901,35.1746673
75,나무와아이들유치원,사립(사인),경상남도 김해시 하계로 414,09시00분~18시00분,3.0,4.0,3.0,0,,48.0,89.0,81.0,0,,241,57.0,100.0,84.0,0,,Y,3,3,0,0,3,128.7373555,35.2978419
76,은성유치원,사립(사인),경상남도 김해시 함박로 122-1,09시30분~17시30분,,3.0,2.0,0,,,54.0,52.0,0,,190,,110.0,80.0,0,,Y,3,3,0,0,3,128.8664585,35.2315254
77,현대유치원,사립(사인),경상남도 김해시 금관대로1209번길 20,09시00분~18시00분,1.0,2.0,3.0,0,,21.0,49.0,56.0,0,,180,30.0,60.0,90.0,0,,Y,3,3,0,1,2,128.8529021,35.2350088
78,율하초등학교병설유치원,공립(병설),경상남도 김해시 율하2로58번길 7,08시30분~17시30분,,,2.0,0,,,,37.0,0,,48,,,48.0,0,,N,0,0,0,0,0,128.8084709,35.1718346
79,대감초등학교병설유치원,공립(병설),경상남도 김해시 대동로 993,08시40분~17시10분,,,,1,,,,,4,,18,,,,18,,N,0,0,0,0,0,128.9818688,35.2739063
80,주촌초등학교병설유치원,공립(병설),경상남도 김해시 서부로1541번길 8,08시30분~18시30분,,,1.0,0,,,,22.0,0,,24,,,24.0,0,,N,0,0,0,0,0,128.8218688,35.2361291
81,경운초등학교병설유치원,공립(병설),경상남도 김해시 우암로73번길 8,08시40분~17시10분,1.0,1.0,2.0,0,,16.0,20.0,41.0,0,,86,16.0,22.0,48.0,0,,N,0,0,0,0,0,128.8606352,35.2384046
82,금동초등학교병설유치원,공립(병설),경상남도 김해시 상동로 551-13,09시00분~17시00분,,,,1,,,,,5,,18,,,,18,,Y,1,1,0,0,1,128.9301750,35.3091500
83,김해내동초등학교병설유치원,공립(병설),경상남도 김해시 평전로 151,08시30분~17시00분,,,,1,1.0,,,,10,4.0,18,,,,14,4.0,N,0,0,0,0,0,128.8592398,35.2427542
84,청아유치원,사립(사인),경상남도 김해시 하계로 40,09시20분~18시00분,3.0,4.0,4.0,0,,57.0,87.0,103.0,0,,450,150.0,150.0,150.0,0,,Y,3,3,0,0,3,128.7102351,35.2890356
85,스펀지창의유치원,사립(사인),경상남도 김해시 관동로27번길 5-35,07시50분~18시00분,,4.0,3.0,1,,,99.0,80.0,24,,206,,100.0,82.0,24,,Y,3,3,0,0,3,128.8064878,35.1785942
86,김해율산초등학교병설유치원,공립(병설),경상남도 김해시 율하5로 55,08시40분~17시10분,,1.0,1.0,0,1.0,,19.0,22.0,0,4.0,49,,21.0,24.0,0,4.0,N,0,0,0,0,0,128.8289279,35.1648366
87,진영유치원,공립(단설),경상남도 김해시 장등1로31번길 80-20,08시00분~18시30분,3.0,3.0,3.0,0,1.0,46.0,62.0,70.0,0,5.0,182,46.0,62.0,70.0,0,4.0,Y,3,3,0,0,3,128.7389611,35.3150953
88,김해율하유치원,공립(단설),경상남도 김해시 율하2로126번길 6,07시30분~19시00분,2.0,2.0,4.0,0,,32.0,42.0,96.0,0,,170,32.0,42.0,96.0,0,,Y,3,3,0,0,3,128.8142922,35.1686928
89,진영장등초등학교병설유치원,공립(병설),경상남도 김해시 진영읍 장등로 120,08시40분~17시10분,1.0,1.0,1.0,0,,16.0,21.0,24.0,0,,61,16.0,21.0,24.0,0,,N,0,0,0,0,0,128.7308094,35.3125601
90,아이리더유치원,사립(사인),경상남도 김해시 장등1로31번길 80-20,09시00분~18시30분,4.0,3.0,3.0,0,,68.0,75.0,76.0,0,,332,76.0,75.0,84.0,0,,Y,2,2,0,0,2,128.7389611,35.3150953
91,아인유치원,사립(사인),경상남도 김해시 관동로27번길 27-11,09시10분~18시00분,,2.0,2.0,3,,,47.0,53.0,70,,172,,50.0,54.0,70,,Y,2,2,0,0,2,128.8083655,35.1785479
92,김해모산초등학교병설유치원,공립(병설),경상남도 김해시 율하로 483,08시30분~17시00분,,,1.0,0,,,,24.0,0,,24,,,24.0,0,,N,0,0,0,0,0,128.8268270,35.1683925
93,숲속자연유치원,사립(사인),경상남도 김해시 김해대로1902번길 14,08시00분~18시00분,,2.0,2.0,2,,,50.0,56.0,43,,168,,50.0,56.0,48,,Y,2,2,0,0,2,128.8647289,35.2557170
